Time[s], Channel 0
2.00053075, 1
2.82490283333333, 0
2.83386408333333, 1
2.83834941666667, 0
2.83889041666667, 1
2.83947041666667, 0
2.84001008333333, 1
2.84059091666667, 0
2.84112975, 1
2.8417115, 0
2.84224933333333, 1
2.84282908333333, 0
2.84336875, 1
2.84506858333333, 0
2.84560975, 1
2.84731125, 0
2.84785091666667, 1
2.84843208333333, 0
2.84897041666667, 1
2.84955158333333, 0
2.85008991666667, 1
2.850674, 0
2.85120941666667, 1
2.85178925, 0
2.85232908333333, 1
2.85290908333333, 0
2.8534485, 1
2.85403083333333, 0
2.85456833333333, 1
2.85627016666667, 0
2.85680916666667, 1
2.85851041666667, 0
2.85905025, 1
2.85963058333333, 0
2.86016966666667, 1
2.86075116666667, 0
2.8612895, 1
2.86186925, 0
2.86240891666667, 1
2.86299108333333, 0
2.86352883333333, 1
2.86411041666667, 0
2.86464816666667, 1
2.865228, 0
2.86576758333333, 1
2.86635125, 0
2.86688716666667, 1
2.86746875, 0
2.86800691666667, 1
2.868589, 0
2.86912633333333, 1
2.86970483333333, 0
2.87024608333333, 1
2.87194675, 0
2.872487, 1
2.87418891666667, 0
2.87472833333333, 1
2.87642816666667, 0
2.87696925, 1
2.87866966666667, 0
2.8792115, 1
2.88091166666667, 0
2.881451, 1
2.88315266666667, 0
2.88369266666667, 1
2.88539283333333, 0
2.88593658333333, 1
2.88763325, 0
2.88823275, 1
2.93251125, 0
2.94152458333333, 1
2.94373783333333, 0
2.94433, 1
