Time[s], Channel 0
1.28825866666667, 1
2.10451908333333, 0
2.121592, 1
2.12740408333333, 0
2.12833225, 1
2.12905033333333, 0
2.12997533333333, 1
2.130608, 0
2.13156741666667, 1
2.13218883333333, 0
2.1331465, 1
2.13379191666667, 0
2.13470041666667, 1
2.13679966666667, 0
2.13783091666667, 1
2.13985158333333, 0
2.14078558333333, 1
2.14147541666667, 0
2.1424415, 1
2.143122, 0
2.14388133333333, 1
2.14459083333333, 0
2.1454985, 1
2.14618825, 0
2.14705091666667, 1
2.147749, 0
2.14870641666667, 1
2.14932883333333, 0
2.15018458333333, 1
2.15228883333333, 0
2.15331558333333, 1
2.15541758333333, 0
2.15644508333333, 1
2.15706791666667, 0
2.15804716666667, 1
2.1586595, 0
2.15961791666667, 1
2.16024683333333, 0
2.16120383333333, 1
2.16185658333333, 0
2.16277741666667, 1
2.16347566666667, 0
2.16433858333333, 1
2.16502366666667, 0
2.16598716666667, 1
2.166597, 0
2.16755833333333, 1
2.16816741666667, 0
2.1691235, 1
2.16977408333333, 0
2.17071675, 1
2.17129758333333, 0
2.17225958333333, 1
2.17432083333333, 0
2.17537741666667, 1
2.17735625, 0
2.1784885, 1
2.18041958333333, 0
2.181575, 1
2.18354033333333, 0
2.18456691666667, 1
2.18656858333333, 0
2.1877225, 1
2.189632, 0
2.19076316666667, 1
2.19276, 0
2.19391241666667, 1
2.19580866666667, 0
2.19694291666667, 1
